Index;A;B;C;D;E;F;G;H;I;J
1;10,8;10,9;10,9;10,9;10,9;10,8;10,8;10,8;10,8;10,7
2;10,6;10,7;10,9;10,8;10,9;10,8;10,9;10,8;10,7;10,7
3;10,6;10,6;10,8;10,8;10,6;10,6;10,7;10,8;10,8;10,8
4;10,6;10,7;10,8;10,8;10,6;10,7;10,9;10,9;10,8;10,8
5;10,8;10,8;10,8;10,9;10,9;10,9;10,8;10,8;10,8;10,8
6;10,6;10,6;10,9;10,8;10,9;10,8;10,8;10,8;10,7;10,7
7;10,7;10,7;10,8;11,0;10,9;10,8;10,8;10,8;10,8;10,7
8;10,7;10,6;10,8;10,7;11,0;11,0;10,8;10,8;10,8;10,7
9;10,6;10,7;10,8;10,8;11,0;11,0;10,9;10,9;10,8;10,8
10;10,7;10,6;10,7;10,8;11,0;11,0;10,9;10,9;10,7;10,8
11;10,6;10,6;10,7;10,7;11,0;11,0;11,0;10,9;10,8;10,7
12;10,6;10,7;10,8;10,8;10,9;10,9;10,9;10,8;10,7;10,7
