Index;A;B;C;D;E;F;G;H;I;J
1;29,2;29,0;29,2;29,2;29,2;29,0;29,1;29,6;29,8;30,3
2;29,6;29,2;29,5;29,3;29,5;29,5;29,2;29,8;29,8;30,3
3;30,1;29,6;29,8;29,7;29,7;29,8;29,3;30,1;30,1;30,3
4;30,4;30,3;30,2;29,7;29,8;30,0;29,6;30,4;30,3;30,8
5;30,5;30,5;30,3;29,9;29,8;30,1;30,2;30,6;30,8;30,8
6;31,0;30,8;30,3;29,9;30,2;30,4;30,4;30,8;30,9;31,1
7;30,6;30,3;30,3;29,9;30,0;30,2;30,3;30,7;30,9;31,0
8;30,5;30,3;29,8;29,9;30,0;29,9;30,0;30,3;30,5;30,7
9;30,0;29,8;29,7;29,4;29,7;29,8;29,8;30,0;30,0;30,3
10;29,8;29,8;29,4;29,4;29,5;29,8;29,9;29,8;30,0;30,2
11;29,3;29,2;29,5;29,3;29,3;29,4;29,5;29,7;29,9;30,1
12;29,0;29,0;29,2;29,2;29,0;29,1;29,2;29,1;29,2;30,0
